time,q1,q2,q3,dq1,dq2,dq3,tau1,tau2,tau3,Fx,Fy,ee_x,ee_y,target_x,target_y,in_contact,contact_state
0.01,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.02,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.03,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.04,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.05,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.060000000000000005,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.07,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.08,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.09,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.09999999999999999,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.10999999999999999,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.11999999999999998,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.12999999999999998,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.13999999999999999,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.15,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.16,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.17,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.18000000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.19000000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.20000000000000004,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.21000000000000005,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.22000000000000006,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.23000000000000007,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.24000000000000007,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.25000000000000006,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.26000000000000006,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.2700000000000001,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.2800000000000001,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.2900000000000001,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.3000000000000001,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.3100000000000001,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.3200000000000001,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.3300000000000001,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.34000000000000014,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.35000000000000014,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.36000000000000015,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.37000000000000016,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.38000000000000017,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.3900000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.4000000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.4100000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.4200000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.4300000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.4400000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.45000000000000023,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.46000000000000024,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.47000000000000025,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.48000000000000026,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.49000000000000027,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.5000000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.5100000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.5200000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.5300000000000002,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.5400000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.5500000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.5600000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.5700000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.5800000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.5900000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.6000000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.6100000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.6200000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.6300000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.6400000000000003,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.6500000000000004,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.6600000000000004,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.6700000000000004,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
0.6800000000000004,2.356194490192345,-1.7453292519943295,-0.7853981633974483,0.0,0.0,0.0,-2.7013102943933003,4.582243105218731,0.9660964057049761,0.0,0.0,0.19521979047384755,0.38483066878721933,0.19521979047384755,0.38483066878721933,0,APPROACH
