time,tau1,tau2,tau3,Fx,Fy,ee_x,ee_y,target_x,target_y,ex,ey,ex_mm,ey_mm,in_contact,contact_state
0.01,-2.7891200189029175,4.644509567818448,1.0103663138748487,0.0,0.0,0.1952379015216157,0.3848724280254341,0.19521979047384755,0.38483066878721933,0.0,0.0,0.0,0.0,0,APPROACH
0.02,-2.7938979038431553,4.574204817735031,0.9702576799992336,0.0,0.0,0.1952644241436367,0.3849168955830029,0.19521979047384755,0.38483066878721933,-1.8111047768137878e-05,-4.17592382147558e-05,0.018111047768137878,0.0417592382147558,0,APPROACH
0.03,-2.7818294426872643,4.567699397752108,0.9630345704715998,0.0,0.0,0.1952961123776792,0.38495727409752556,0.19521979047384755,0.38483066878721933,-4.463366978915695e-05,-8.622679578357273e-05,0.04463366978915695,0.08622679578357273,0,APPROACH
0.04,-2.768177181203564,4.572440482300835,0.9621055520488039,0.0,0.0,0.19533118252074086,0.38499290490811133,0.19521979047384755,0.38483066878721933,-7.632190383163873e-05,-0.00012660531030622701,0.07632190383163873,0.12660531030622701,0,APPROACH
0.05,-2.7557370290744156,4.578369019981429,0.9623336805826255,0.0,0.0,0.1953683256039817,0.385024227902279,0.19521979047384755,0.38483066878721933,-0.0001113920468933105,-0.0001622361208920009,0.1113920468933105,0.1622361208920009,0,APPROACH
0.060000000000000005,-2.7448964869516175,4.583641699571521,0.962731603876927,0.0,0.0,0.19540649540426291,0.38505181697004853,0.19521979047384755,0.38483066878721933,-0.00014853513013415864,-0.0001935591150596938,0.14853513013415864,0.1935591150596938,0,APPROACH
0.07,-2.7355818884363727,4.5879995283673,0.9631140317689192,0.0,0.0,0.19544484731290146,0.385076202907798,0.19521979047384755,0.38483066878721933,-0.00018670493041536562,-0.00022114818282920057,0.18670493041536562,0.22114818282920057,0,APPROACH
0.08,-2.7276373335788167,4.591484076590334,0.9634502509983378,0.0,0.0,0.1954827075884471,0.38509784775143896,0.19521979047384755,0.38483066878721933,-0.00022505683905391094,-0.00024553412057864987,0.22505683905391094,0.24553412057864987,0,APPROACH
0.09,-2.720899409293266,4.594188583529882,0.9637389248857692,0.0,0.0,0.19551954985096073,0.385117147551255,0.19521979047384755,0.38483066878721933,-0.00026291711459955347,-0.0002671789642196276,0.26291711459955347,0.2671789642196276,0,APPROACH
0.09999999999999999,-2.7152125258365674,4.596209521899842,0.963983916239728,0.0,0.0,0.19555497441290054,0.38513443984507273,0.19521979047384755,0.38483066878721933,-0.00029975937711318457,-0.000286478764035647,0.29975937711318457,0.286478764035647,0,APPROACH
0.10999999999999999,-2.7104323723193544,4.597637145118481,0.9641896498571756,0.0,0.0,0.1955886896149276,0.38515001128823667,0.19521979047384755,0.38483066878721933,-0.00033518393905299093,-0.000303771057853397,0.33518393905299093,0.303771057853397,0,APPROACH
